OBJECTID,MUNICUID,MUNICID,NAME,FIPSCODE,CREATEDBY,CREATEDDATE,MODIFIEDBY,MODIFIEDDATE,SHAPE_Length,SHAPE_Area
1,14,27,HIALEAH GARDENS,1230025,,,,,0.231716877429186,0.000856657248992429
2,4,30,UNINCORPORATED MIAMI-DADE,,,,,,0.324624833063274,0.00176831687498731
3,7,07,NORTH MIAMI BEACH,1249475,,,,,0.420396609932217,0.00123333685117732
4,57,30,UNINCORPORATED MIAMI-DADE,,,,,,0.0055761372480304,1.2863289716403e-06
5,25,17,BISCAYNE PARK,1206600,,,,,0.0527044809777496,0.000148403025742803
6,47,15,WEST MIAMI,1276525,,,,,0.0709385120821365,0.000165342016935147
7,12,32,MIAMI LAKES,1245100,,,,,0.172572878602388,0.00151428570791574
8,77,36,CUTLER BAY,1215968,,,,,0.2273032816751,0.00238052141162306
9,58,30,UNINCORPORATED MIAMI-DADE,,,,,,0.00639219024115974,1.50323181073975e-06
10,5,34,MIAMI GARDENS,1245060,,,,,0.303351546557609,0.00443488438560784
11,66,09,SOUTH MIAMI,1267550,,,,,0.00820749171282153,3.66238228110556e-06
12,23,13,BAY HARBOR ISLANDS,1203975,,,,,0.0385761539031232,9.82596146381646e-05
13,2,19,GOLDEN BEACH,1226250,,,,,0.0478092686540605,9.55680669642205e-05
14,62,09,SOUTH MIAMI,1267550,,,,,0.00599283775087773,2.08213667558083e-06
15,21,30,UNINCORPORATED MIAMI-DADE,,,,,,0.0152938890146489,1.45836111528043e-05
16,67,09,SOUTH MIAMI,1267550,,,,,0.00109617499406645,6.52156339863382e-08
17,52,30,UNINCORPORATED MIAMI-DADE,,,,,,0.00212205511836828,1.28214530542762e-07
18,40,05,MIAMI SPRINGS,1245200,,,,,0.148803564621229,0.000699456169867366
19,76,33,PALMETTO BAY,1254275,,,,,0.233199274119227,0.0019653897479045
20,33,23,NORTH BAY VILLAGE,1249225,,,,,0.054041427880246,0.000182391049874119
21,56,30,UNINCORPORATED MIAMI-DADE,,,,,,0.0027782196050399,3.46449678258583e-07
22,30,30,UNINCORPORATED MIAMI-DADE,,,,,,0.0887694308560134,0.000164884332930982
23,18,06,NORTH MIAMI,1249450,,,,,0.00690251566816098,2.9004606970406e-06
24,38,30,UNINCORPORATED MIAMI-DADE,,,,,,0.0722762042172922,0.000155747023924526
25,46,30,UNINCORPORATED MIAMI-DADE,,,,,,0.00405415818982397,4.36867544833113e-07
26,15,07,NORTH MIAMI BEACH,1249475,,,,,0.01725461709353,9.67702436943741e-06
27,37,22,MEDLEY,1243900,,,,,0.0116934446898032,7.36557189482091e-06
28,63,30,UNINCORPORATED MIAMI-DADE,,,,,,0.00174496596332197,1.65461395773085e-07
29,28,30,UNINCORPORATED MIAMI-DADE,,,,,,0.036016239800831,5.11751151659237e-05
30,64,09,SOUTH MIAMI,1267550,,,,,0.00122597410288867,6.87998126645948e-08
31,50,30,UNINCORPORATED MIAMI-DADE,,,,,,0.00432916211783578,6.67901960985047e-07
32,65,09,SOUTH MIAMI,1267550,,,,,0.00121223673809902,6.88273410279383e-08
33,59,30,UNINCORPORATED MIAMI-DADE,,,,,,0.00281450530848692,4.10128598693044e-07
34,78,30,UNINCORPORATED MIAMI-DADE,,,,,,0.680877538161786,0.0202216225752459
35,60,09,SOUTH MIAMI,1267550,,,,,0.018231291609822,5.31412404513574e-06
36,26,21,INDIAN CREEK VILLAGE,1233425,,,,,0.044998674261201,0.000109044362878343
37,29,02,MIAMI BEACH,1245025,,,,,0.302125066822592,0.00352002311184959
38,71,09,SOUTH MIAMI,1267550,,,,,0.00170633335985596,1.71655696366062e-07
39,8,30,UNINCORPORATED MIAMI-DADE,,,,,,0.0117661043266255,5.54997473691573e-06
40,61,09,SOUTH MIAMI,1267550,,,,,0.0351990501734189,2.46732209009679e-05
41,72,09,SOUTH MIAMI,1267550,,,,,0.00794313989411623,3.9408186836908e-06
42,68,09,SOUTH MIAMI,1267550,,,,,0.00584972047411883,1.94571321951512e-06
43,41,26,VIRGINIA GARDENS,1274575,,,,,0.0418693075979619,6.66920606271587e-05
44,27,11,MIAMI SHORES,1245175,,,,,0.185635580332245,0.000881599498246569
45,44,30,UNINCORPORATED MIAMI-DADE,,,,,,0.0370312858959872,7.48347533472416e-05
46,49,30,UNINCORPORATED MIAMI-DADE,,,,,,0.00733462610029283,1.87679952431883e-06
47,17,08,OPA-LOCKA,1251650,,,,,0.154688831819206,0.00104779509808762
48,70,09,SOUTH MIAMI,1267550,,,,,0.00219023711634053,2.63963728517521e-07
49,51,30,UNINCORPORATED MIAMI-DADE,,,,,,0.0042501914474315,5.91356840126315e-07
50,20,22,MEDLEY,1243900,,,,,0.245003811849052,0.00136446994927914
51,42,25,SWEETWATER,1270345,,,,,0.139043602203651,0.000554233353672282
52,31,18,EL PORTAL,1220650,,,,,0.0591668525962549,9.70799628865898e-05
53,35,35,DORAL,1217935,,,,,0.274344827125228,0.00348756134652363
54,79,10,HOMESTEAD,1232275,,,,,0.402847313147943,0.00362407270469709
55,34,01,MIAMI,1245000,,,,,0.76620765420809,0.0130635099150103
56,1,30,UNINCORPORATED MIAMI-DADE,,,,,,6.83087523525184,0.463324654981292
57,45,02,MIAMI BEACH,1245025,,,,,0.0700180279471467,1.00382155801376e-05
58,74,24,KEY BISCAYNE,1236300,,,,,0.0860734862991483,0.000396970442593346
59,13,04,HIALEAH,1230000,,,,,0.489401523418175,0.00532449453194654
60,16,30,UNINCORPORATED MIAMI-DADE,,,,,,0.136025151423962,0.000535110621897333
61,48,30,UNINCORPORATED MIAMI-DADE,,,,,,0.00291841822377259,5.26840172844773e-07
62,6,31,SUNNY ISLES BEACH,1269555,,,,,0.0920687008389731,0.000422279015046584
63,39,22,MEDLEY,1243900,,,,,0.00983549295160101,3.64927958857279e-06
64,53,30,UNINCORPORATED MIAMI-DADE,,,,,,0.00254639020471889,3.52695436216613e-07
65,3,28,AVENTURA,1202681,,,,,0.128481206972791,0.000814336327777379
66,19,12,BAL HARBOUR,1203275,,,,,0.0460370862422298,0.00010776331152807
67,73,30,UNINCORPORATED MIAMI-DADE,,,,,,0.0753263281362341,0.000245985418662049
68,75,20,PINECREST,1256625,,,,,0.194181388254766,0.00175282356032726
69,69,09,SOUTH MIAMI,1267550,,,,,0.133158557111622,0.000494947970324971
70,80,16,FLORIDA CITY,1222975,,,,,0.247287693791715,0.00140993860607185
71,10,06,NORTH MIAMI,1249450,,,,,0.435637462851515,0.0023482303578772
72,22,30,UNINCORPORATED MIAMI-DADE,,,,,,0.403352094131956,0.00377368349995073
73,54,30,UNINCORPORATED MIAMI-DADE,,,,,,0.00244808598976798,3.28306199783712e-07
74,9,30,UNINCORPORATED MIAMI-DADE,,,,,,0.0114152711552621,7.46118272907317e-06
75,43,03,CORAL GABLES,1214250,,,,,0.601995620524189,0.00824199184463581
76,11,30,UNINCORPORATED MIAMI-DADE,,,,,,0.229616419020329,0.00117318159614988
77,24,14,SURFSIDE,1270075,,,,,0.0514213720060382,0.00013430959086645
78,55,30,UNINCORPORATED MIAMI-DADE,,,,,,0.00425613078119584,9.99125003168836e-07
